query,relation,direction,entity,score,rank
GEE05919,binds,h→t,DCP11644,25.129791259765625,6
GEE11166,is_associated_with,h→t,DCP03432,25.09653663635254,1
GEE05633,downregulates,h→t,DCP12891,25.089773178100586,1
GEE01844,functions,h→t,DCP11740,25.042266845703125,57
GEE23926,is_associated_with,h→t,DCP12388,25.03826904296875,6
GEE01844,binds,h→t,DCP12937,25.015302658081055,24
GEE03480,functions,h→t,DCP11433,25.006792068481445,5
GEE23939,is_associated_with,h→t,DCP05028,24.948223114013672,14
GEE05283,downregulates,h→t,DCP20267,24.94089126586914,2
GEE03480,functions,h→t,DCP12460,24.932838439941406,6
GEE23926,is_associated_with,h→t,DCP11242,24.9207706451416,7
GEE01146,is_associated_with,h→t,DCP09640,24.854427337646484,8
GEE05134,binds,h→t,DCP11339,24.75499153137207,5
GEE01844,functions,h→t,DCP12071,24.744770050048828,62
GEE04060,is_associated_with,h→t,DCP05758,24.72344207763672,1
GEE03480,functions,h→t,DCP12759,24.720258712768555,7
GEE01844,functions,h→t,DCP11089,24.6762752532959,63
GEE23939,is_associated_with,h→t,DCP04990,24.641347885131836,15
GEE03480,binds,h→t,DCP11225,24.626998901367188,2
GEE01844,binds,h→t,DCP12537,24.62476348876953,26
GEE01844,functions,h→t,DCP11304,24.607040405273438,64
GEE01844,functions,h→t,DCP12841,24.56460952758789,65
GEE01146,is_associated_with,h→t,DCP00421,24.555463790893555,9
GEE01844,functions,h→t,DCP13033,24.55352020263672,66
GEE23939,is_associated_with,h→t,DCP05000,24.51976203918457,16
GEE01146,is_associated_with,h→t,DCP06538,24.51744270324707,10
GEE05283,downregulates,h→t,DCP11920,24.51727867126465,5
GEE01844,binds,h→t,DCP12767,24.516006469726562,27
GEE01844,functions,h→t,DCP12711,24.4946231842041,67
GEE01844,binds,h→t,DCP12075,24.454782485961914,28
GEE01844,functions,h→t,DCP12458,24.452314376831055,68
GEE05134,binds,h→t,DCP12142,24.443655014038086,7
GEE01844,is_associated_with,h→t,DCP12180,24.425317764282227,5
GEE01844,binds,h→t,DCP11958,24.413482666015625,29
GEE00645,is_associated_with,h→t,DCP02352,24.413127899169922,3
