Experiment,Drug,IoU,global_weight_factor,dfs_penalty,bonus_exp,isi_floor,decay_factor,mode
Baseline,HEB5058,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB5058,0.3333333333333333,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB5058,0.1111111111111111,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB5058,0.6666666666666666,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB5058,0.1111111111111111,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB5058,0.3333333333333333,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB5058,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB5058,0.3333333333333333,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB1435,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB1435,0.1111111111111111,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB1435,0.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB1435,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB1435,0.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB1435,0.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB1435,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB1435,1.0,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB0006,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB0006,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB0006,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB0006,1.0,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB0006,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB0006,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB0006,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB0006,0.5384615384615384,1.0,0.2,1.8,1.0,0.9,normal
Baseline,HEB4619,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,HEB4619,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
Exp1_StrongDistinction,HEB4619,1.0,0.2,0.05,1.8,0.01,0.9,strong_distinction
Exp2_NoDecay,HEB4619,0.5384615384615384,1.0,0.2,1.8,0.01,1.0,normal
Exp2_StrongDecay,HEB4619,1.0,1.0,0.2,1.8,0.01,0.5,normal
Exp3_NoBonus,HEB4619,1.0,1.0,0.2,1.0,0.01,0.9,normal
Exp3_HighBonus,HEB4619,1.0,1.0,0.2,5.0,0.01,0.9,normal
Exp4_NoISI,HEB4619,0.6666666666666666,1.0,0.2,1.8,1.0,0.9,normal
Baseline,DCP11343,1.0,1.0,0.2,1.8,0.01,0.9,normal
Exp1_NoDistinction,DCP11343,0.0,1.0,1.0,1.8,0.01,0.9,no_distinction
